# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
7.462920083466953791e+00,1.129053644368421594e+01,7.209261699624160968e-01,1.133139329701309883e+01,5.000000000000000000e-01,7.084772080968310126e-01,1.628815263251115297e+01,9.019730129814239605e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.765376075804182321e+00,1.481031274634799821e+01,1.000000000000000056e-01,1.415610060152095073e+01,1.193228876504754954e+00,5.000000000000000000e+00,2.000000000000000000e+01,8.976298742472128556e-01,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.477199683511219241e+01,8.028895783468795955e+00,8.030860819723215638e-01,1.572986298858186061e+01,1.256433236379962182e+00,1.199765234238760359e+00,1.279180707358899305e+01,9.385300233838731465e-01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.978522177917106717e+01,2.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+01,2.745131674535723931e+00,5.000000000000000000e+00,8.434643067370025449e+00,8.738834501014375311e-01,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.846713298857531882e+01,5.000000000000000000e+00,5.027251440537519045e-01,1.960642403355831220e+01,2.296326490263704834e+00,6.296414287480340821e-01,2.000000000000000000e+01,8.491442316702324522e-01,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.153565189616903908e+00,1.647081838637771867e+01,1.000000000000000056e-01,1.272604003787213856e+01,1.003902009719584543e+00,5.000000000000000000e+00,2.000000000000000000e+01,9.268433304904931669e-01,5.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.525619382213422526e+01,1.995505909459636484e+01,7.619653636412559994e-01,1.449298235044231298e+01,5.000000000000000000e-01,1.291011240331631171e+00,2.000000000000000000e+01,9.185923137121334570e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.861480937086594878e+01,1.502547547734732092e+01,1.000000000000000056e-01,7.579123571151698435e+00,8.647541641402318735e-01,5.000000000000000000e-01,2.000000000000000000e+01,8.852313336256740772e-01,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.821654833701750853e+00,1.313157531748556295e+01,9.195538612491324093e-01,1.191728583767060634e+01,5.000000000000000000e-01,5.752304537921969496e-01,1.413191753355631874e+01,9.045532094119487221e-01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.190443719721359983e+01,1.789957553216753894e+01,1.000000000000000056e-01,7.479867228605993290e+00,5.000000000000000000e-01,6.512748688140566067e-01,1.837050337510308751e+01,8.967234044560098427e-01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.827322503946207100e+00,1.396462362145334879e+01,1.000000000000000056e-01,1.745188104824907782e+01,1.369268016029717705e+00,5.000000000000000000e+00,2.000000000000000000e+01,9.018877216524803231e-01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
