# taue, taui, alpha, speed, gei, gii, tauC, pearsonr, sub, flag, status, success
7.245014410566866125e+00,1.548680593878019351e+01,3.043450645223442219e-01,1.130718098066025945e+01,5.095688174390563402e-02,1.000000000000000000e+00,1.593087885318592889e+01,9.043465770980263496e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.086159382378830607e+01,6.117654926364134660e+00,1.000000000000000056e-01,1.063646347284895022e+01,2.714554287580543956e-01,1.000000000000000000e+00,2.000000000000000000e+01,9.025563403420708841e-01,1.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.805585871416051447e+01,8.583099322203583625e+00,5.386256693234208193e-01,1.470693800368495374e+01,3.373641676631613517e-01,1.427705622875102165e+00,6.320253936993331045e+00,9.378863211762347163e-01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.776762406701978492e+00,1.646316451762092115e+01,1.000000000000000056e-01,5.490230415907236150e+00,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,8.740572989420567485e-01,3.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.998154585238427217e+01,6.831571221009926198e+00,1.000000000000000056e-01,1.883545303914395674e+01,3.346676841884516085e-01,1.009754772952274005e+00,5.000000000000000000e+00,8.424843313165476522e-01,4.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.688901971994903661e+00,1.302856178501056839e+01,7.574534210579595417e-01,1.274855929496997220e+01,9.888667424614319690e-02,1.000000000000000000e+00,1.159361452460988140e+01,9.266004200643938038e-01,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.497530055688777573e+01,1.902185812537246079e+01,5.392141621385607708e-01,1.447022453721934987e+01,3.157998721828796374e-01,1.000000000000000000e+00,1.999361311159356802e+01,9.190690898394211494e-01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.515367061497792811e+01,2.000000000000000000e+01,1.000000000000000056e-01,7.560164294796489770e+00,3.223824807209385024e-01,1.000000000000000000e+00,2.000000000000000000e+01,8.854014418172334588e-01,7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.541648517632953741e+00,1.908953168889525998e+01,8.860992955998590048e-01,1.178253391961611563e+01,1.000000000000000021e-03,1.000000000000000000e+00,1.418823258028933409e+01,9.083669556721467586e-01,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.089628596832213603e+01,2.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+01,6.993214353828887397e-02,1.000000000000000000e+00,2.000000000000000000e+01,8.970157803097498217e-01,9.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.020816429324888475e+00,1.211069790894777043e+01,1.000000000000000056e-01,1.730181380001003433e+01,1.000000000000000021e-03,1.000000000000000000e+00,9.556942747517851444e+00,9.027081300016613907e-01,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.356387453411528554e+00,5.749375638964942858e+00,1.000000000000000056e-01,1.272481508679919138e+01,4.018251285298012898e-01,1.000000000000000000e+00,1.529104407635932361e+01,9.040666721515160376e-01,1.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.961950340105224733e+00,1.771423683583999775e+01,1.553745365122610467e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,1.168092954093674329e+01,9.234164263513902071e-01,1.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.519084933305063956e+01,8.051925244156770134e+00,6.335045357399698984e-01,1.603864443851325561e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,9.218156810953572755e-01,1.300000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.718840030619320558e+01,8.460588276891730430e+00,9.279426891871073169e-01,2.000000000000000000e+01,1.000000000000000021e-03,1.000000000000000000e+00,2.000000000000000000e+01,8.876615292481284669e-01,1.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
